Timestamp,SourceIP,DestinationIP,Length,SourcePort,DestinationPort
14:50:19.743206,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.743248,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.749563,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.749826,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.749903,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.757533,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.758021,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.758054,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.758472,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.758491,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.782311,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.782975,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.783086,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.783283,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.783346,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.788702,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.789872,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.790147,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.790321,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.790347,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.795302,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.795303,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.795404,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.801378,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.802443,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.802513,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.802906,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.802935,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.807752,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.808697,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.808837,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.813723,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.818081,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.818107,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.818154,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.818527,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.820353,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.820864,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.820915,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.82135,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.821393,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.821497,115.113.240.203,10.0.2.15,1600,443,41438
