SequenceNumber,RequestTime,ReplyTime,RequestSourceIP,RequestDestIP,ReplySourceIP,ReplyDestIP,ReplyTTLexpiredIP,TTL,Download/Upload/Idle
4065,21:23:02.848211,21:23:03.007738,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,upload
4030,21:22:59.570754,21:22:59.710163,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,upload
4052,21:23:01.852479,21:23:01.972404,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,upload
4062,21:23:02.480252,21:23:02.689214,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,upload
4314,21:23:13.846103,21:23:13.847775,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
4370,21:23:15.740334,21:23:15.744743,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
4379,21:23:16.047475,21:23:16.090445,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
3804,21:22:48.145055,21:22:48.281228,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,download
3966,21:22:56.135464,21:22:56.193195,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,download
4319,21:23:14.088463,21:23:14.122455,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
3915,21:22:53.775756,21:22:53.785698,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,download
4084,21:23:04.228181,21:23:04.321233,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,upload
3979,21:22:56.84382,21:22:56.873668,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,download
4089,21:23:04.554391,21:23:04.723861,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,upload
4359,21:23:15.347884,21:23:15.350276,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
3790,21:22:47.581984,21:22:47.619121,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,download
3816,21:22:49.060028,21:22:49.122176,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,download
3930,21:22:54.500443,21:22:54.534902,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,download
3981,21:22:56.9268,21:22:56.946515,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,download
4157,21:23:08.631889,21:23:08.633605,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
4159,21:23:08.634543,21:23:08.636488,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,idle
4223,21:23:10.898397,21:23:10.901841,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,idle
3838,21:22:49.992245,21:22:50.021867,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,download
3839,21:22:49.992943,21:22:50.021867,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,download
3875,21:22:51.594693,21:22:51.717921,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,download
3982,21:22:56.941685,21:22:56.970567,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,download
4198,21:23:09.944913,21:23:09.954405,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,idle
4235,21:23:11.248791,21:23:11.250596,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,idle
4272,21:23:12.449353,21:23:12.451841,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,idle
3786,21:22:47.296752,21:22:47.362747,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,download
3844,21:22:50.180796,21:22:50.197247,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,download
4229,21:23:11.078246,21:23:11.090011,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,idle
4245,21:23:11.550505,21:23:11.556692,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
3837,21:22:49.874613,21:22:49.917488,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,download
3886,21:22:52.040604,21:22:52.052903,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,download
4334,21:23:14.620744,21:23:14.628155,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
4392,21:23:16.596419,21:23:16.625707,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,idle
4070,21:23:03.321821,21:23:03.530617,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,upload
4111,21:23:06.304059,21:23:06.467815,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,upload
4352,21:23:15.177791,21:23:15.180306,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
3824,21:22:49.494947,21:22:49.528851,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,download
3950,21:22:55.251221,21:22:55.266795,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,download
4177,21:23:09.259015,21:23:09.261033,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
4214,21:23:10.57243,21:23:10.581307,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,idle
4386,21:23:16.306003,21:23:16.31276,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
3889,21:22:52.148289,21:22:52.256247,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,download
4120,21:23:07.080887,21:23:07.213626,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,upload
3944,21:22:55.000456,21:22:55.023355,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,download
3958,21:22:55.634518,21:22:55.65953,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,download
4281,21:23:12.749166,21:23:12.762514,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,idle
3866,21:22:51.156177,21:22:51.254646,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,download
3904,21:22:53.062637,21:22:53.113765,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,download
4082,21:23:04.227005,21:23:04.321233,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,upload
4156,21:23:08.554018,21:23:08.559244,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,idle
4306,21:23:13.542632,21:23:13.544524,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
4317,21:23:13.940462,21:23:14.008728,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
4327,21:23:14.263218,21:23:14.336897,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
4356,21:23:15.249722,21:23:15.251085,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
3856,21:22:50.684375,21:22:50.792825,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,download
3893,21:22:52.512699,21:22:52.667696,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,download
3880,21:22:51.792889,21:22:51.878076,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,download
3920,21:22:54.153397,21:22:54.176208,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,download
3945,21:22:55.0014,21:22:55.023355,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,download
3952,21:22:55.252205,21:22:55.266795,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,download
3967,21:22:56.135681,21:22:56.193195,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,download
4064,21:23:02.845792,21:23:03.007738,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,upload
3810,21:22:48.734729,21:22:48.835551,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,download
3850,21:22:50.420758,21:22:50.527931,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,download
4189,21:23:09.652054,21:23:09.660568,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
3968,21:22:56.260391,21:22:56.471571,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,download
4335,21:23:14.620744,21:23:14.628155,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
