Timestamp,SourceIP,DestinationIP,Length,SourcePort,DestinationPort
18:24:12.45287,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.452876,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.453409,115.113.240.229,10.0.2.15,1514,443,58992
18:24:12.455143,115.113.240.229,10.0.2.15,1582,443,58992
18:24:12.455312,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.457677,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.457754,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.457806,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.457817,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.462507,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.462541,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.462508,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.462572,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.462767,115.113.240.229,10.0.2.15,1126,443,58992
18:24:12.462768,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.462818,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.462836,115.113.240.229,10.0.2.15,1514,443,58992
18:24:12.463156,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.463191,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.463157,115.113.240.229,10.0.2.15,1514,443,58992
18:24:12.463298,115.113.240.229,10.0.2.15,1514,443,58992
18:24:12.463316,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.463432,115.113.240.229,10.0.2.15,350,443,58992
18:24:12.463432,115.113.240.229,10.0.2.15,1514,443,58992
18:24:12.463446,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.463781,115.113.240.229,10.0.2.15,738,443,58992
18:24:12.463781,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.463805,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.463781,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.463781,115.113.240.229,10.0.2.15,1126,443,58992
18:24:12.463857,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.463872,115.113.240.229,10.0.2.15,1126,443,58992
18:24:12.463882,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.463873,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.463873,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.46393,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.463935,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.489305,115.113.240.229,10.0.2.15,590,443,58992
18:24:12.489631,115.113.240.229,10.0.2.15,590,443,58992
18:24:12.489652,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.489632,115.113.240.229,10.0.2.15,590,443,58992
18:24:12.489891,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.489908,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.490001,115.113.240.229,10.0.2.15,1514,443,58992
18:24:12.490199,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.490212,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.4902,115.113.240.229,10.0.2.15,1126,443,58992
18:24:12.4902,115.113.240.229,10.0.2.15,1126,443,58992
18:24:12.49026,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.490609,115.113.240.229,10.0.2.15,1126,443,58992
18:24:12.49061,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.490778,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.49061,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.490831,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.491008,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.491034,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.491009,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.491168,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.491009,115.113.240.229,10.0.2.15,590,443,58992
18:24:12.491009,115.113.240.229,10.0.2.15,1126,443,58992
18:24:12.491256,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.491009,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.49133,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.491365,115.113.240.229,10.0.2.15,1600,443,58992
